Sector,HI,CI,BI,index_status_HI,index_status_CI,index_status_BI
390,0,0,0,Optimo,Optimo,Optimo
400,9.803921568627452,4.166666666666666,9.803921568627452,Emergencia,Alarma,Emergencia
401,4.545454545454546,1.9230769230769231,4.545454545454546,Alarma,Bueno,Alarma
403,7.246376811594203,3.1578947368421053,8.695652173913043,Emergencia,Alarma,Emergencia
444,0,0,0,Optimo,Optimo,Optimo
500,0,0,0,Optimo,Optimo,Optimo
513,0,0,0,Optimo,Optimo,Optimo
540,12,5.357142857142857,12,Emergencia,Emergencia,Emergencia
569,0,0,0,Optimo,Optimo,Optimo
824,0,0,0,Optimo,Optimo,Optimo
835,0,0,0,Optimo,Optimo,Optimo
848,4.545454545454546,1.9230769230769231,4.545454545454546,Alarma,Bueno,Alarma
857,0,0,0,Optimo,Optimo,Optimo
858,12,5.357142857142857,12,Emergencia,Emergencia,Emergencia
862,9.803921568627452,4.166666666666666,9.803921568627452,Emergencia,Alarma,Emergencia
869,7.246376811594203,3.1578947368421053,8.695652173913043,Emergencia,Alarma,Emergencia
921,0,0,0,Optimo,Optimo,Optimo
927,0,0,0,Optimo,Optimo,Optimo
928,0,0,0,Optimo,Optimo,Optimo
1248,0,0,0,Optimo,Optimo,Optimo
1305,0,0,0,Optimo,Optimo,Optimo
